Molar ratio (Zn:Cu),Promoter 1,Promoter 1 ratio (Promoter 1:Cu),Promoter 2,Promoter 2 ratio (Promoter 2:Cu),Catalyst surface area (m2/g) (LN scale),Type of sysnthesis procedure,Calcination temperature (°C),Calcination time (h),Temperature (°C),Pressure (bar),H2/CO2 ratio (-),GHSV (mL/g.h) (LN scale),Methanol based Ea (kJ/mol)
1.0,Pd,0.01,Null,0.0,2.975529566,Decomposition-precipitation,50.0,12.0,250.0,45,3.0,9.287301413,31.0
1.0,Pd,0.01,Null,0.0,2.975529566,Decomposition-precipitation,50.0,12.0,270.0,45,3.0,9.287301413,31.0
1.0,Pd,0.01,Null,0.0,2.975529566,Decomposition-precipitation,50.0,12.0,290.0,45,3.0,9.287301413,31.0
1.0,Pd,0.02,Null,0.0,2.985681938,Decomposition-precipitation,50.0,12.0,230.0,45,3.0,9.287301413,45.0
1.0,Pd,0.02,Null,0.0,2.985681938,Decomposition-precipitation,50.0,12.0,250.0,45,3.0,9.287301413,45.0
1.0,Pd,0.02,Null,0.0,2.985681938,Decomposition-precipitation,50.0,12.0,270.0,45,3.0,9.287301413,45.0
1.0,Pd,0.02,Null,0.0,2.985681938,Decomposition-precipitation,50.0,12.0,290.0,45,3.0,9.287301413,45.0
1.0,Pd,0.03,Null,0.0,2.990719732,Decomposition-precipitation,50.0,12.0,230.0,45,3.0,9.287301413,62.0
1.0,Pd,0.03,Null,0.0,2.990719732,Decomposition-precipitation,50.0,12.0,250.0,45,3.0,9.287301413,62.0
1.0,Pd,0.03,Null,0.0,2.990719732,Decomposition-precipitation,50.0,12.0,270.0,45,3.0,9.287301413,62.0
1.0,Pd,0.03,Null,0.0,2.990719732,Decomposition-precipitation,50.0,12.0,290.0,45,3.0,9.287301413,62.0
1.0,Pd,0.04,Null,0.0,3.94931879,Decomposition-precipitation,50.0,12.0,230.0,45,3.0,9.287301413,70.0
1.0,Pd,0.04,Null,0.0,3.696351469,Decomposition-precipitation,50.0,12.0,250.0,45,3.0,9.287301413,70.0
1.0,Pd,0.04,Null,0.0,4.182050143,Decomposition-precipitation,50.0,12.0,270.0,45,3.0,9.287301413,70.0
1.0,Pd,0.04,Null,0.0,4.028916757,Decomposition-precipitation,50.0,12.0,290.0,45,3.0,9.287301413,70.0
2.5,Null,0.0,Null,0.0,1.945910149,Impregnation,500.0,2.0,190.0,30,3.0,8.188689124,58.20584987
2.5,Null,0.0,Null,0.0,1.945910149,Impregnation,500.0,2.0,230.0,30,3.0,8.188689124,58.20584987
2.5,Null,0.0,Null,0.0,1.945910149,Impregnation,500.0,2.0,250.0,30,3.0,8.188689124,58.20584987
2.5,Null,0.0,Null,0.0,1.945910149,Impregnation,500.0,2.0,270.0,30,3.0,8.188689124,58.20584987
2.5,Null,0.0,Null,0.0,1.945910149,Impregnation,500.0,2.0,290.0,30,3.0,8.188689124,58.20584987
0.75,Null,0.0,Null,0.0,3.058707073,Co-precipitation,450.0,4.0,220.0,40,3.0,7.313220387,33.3392486
0.75,Null,0.0,Null,0.0,3.058707073,Co-precipitation,450.0,4.0,230.0,40,3.0,7.313220387,33.3392486
0.75,Null,0.0,Null,0.0,3.058707073,Co-precipitation,450.0,4.0,240.0,40,3.0,7.313220387,33.3392486
0.75,Null,0.0,Null,0.0,3.058707073,Co-precipitation,450.0,4.0,250.0,40,3.0,7.313220387,33.3392486
0.75,Null,0.0,Null,0.0,3.058707073,Co-precipitation,450.0,4.0,260.0,40,3.0,7.313220387,33.3392486
0.78,Null,0.0,Null,0.0,3.57950952,MOF-derived,450.0,3.0,220.0,40,3.0,7.313220387,54.19400235
0.78,Null,0.0,Null,0.0,4.812235273,MOF-derived,450.0,3.0,230.0,40,3.0,7.313220387,54.19400235
0.78,Null,0.0,Null,0.0,4.928432984,MOF-derived,450.0,3.0,240.0,40,3.0,7.313220387,54.19400235
0.78,Null,0.0,Null,0.0,5.012095605,MOF-derived,450.0,3.0,250.0,40,3.0,7.313220387,54.19400235
2.3717,Si/S,20.0,Null,0.0,3.701301974,Hydrothermal,500.0,2.0,200.0,30,3.0,9.61580548,45.9395826
2.3717,Si/S,20.0,Null,0.0,3.701301974,Hydrothermal,500.0,2.0,220.0,30,3.0,9.61580548,45.9395826
2.3717,Si/S,20.0,Null,0.0,3.701301974,Hydrothermal,500.0,2.0,240.0,30,3.0,9.61580548,45.9395826
2.3717,Si/S,20.0,Null,0.0,3.701301974,Hydrothermal,500.0,2.0,260.0,30,3.0,9.61580548,45.9395826
1.8225,Si/S,20.0,Null,0.0,3.701301974,Hydrothermal,500.0,2.0,200.0,30,3.0,9.61580548,45.78743907
1.8225,Si/S,20.0,Null,0.0,3.701301974,Hydrothermal,500.0,2.0,220.0,30,3.0,9.61580548,40.66012755
1.8225,Si/S,20.0,Null,0.0,3.701301974,Hydrothermal,500.0,2.0,240.0,30,3.0,9.61580548,40.66012755
2.1465,Si/S,20.0,Null,0.0,2.451005098,Hydrothermal,500.0,2.0,200.0,30,3.0,9.61580548,50.28825275
2.1465,Si/S,20.0,Null,0.0,2.451005098,Hydrothermal,500.0,2.0,220.0,30,3.0,9.61580548,50.28825275
2.1465,Si/S,20.0,Null,0.0,2.451005098,Hydrothermal,500.0,2.0,240.0,30,3.0,9.61580548,50.28825275
